word,count
death,60573
seen,65000
l,667492
charming,48210
normal,51941
district,23332
nose,10068
alpha,9022
tablet,5316
poll,29684
electronics,10396
respect,10545
joint,13222
intellectual,26877
rand,17123
apology,5347
robot,11329
idiot,8044
payday,5468
homosexuality,9241
swim,5452
patriotism,51139
shine,6325
lighting,10100
handling,10048
secondary,32281
forum,47551
magic,28532
record,33060
brain,100368
present,18023
rainy,8820
might,18021
jewelry,14004
jordan,13994
veteran,8765
bourgeois,5084
genesis,14321
salvation,7192
feeling,10713
garbage,5963
tan,5344
cape,7260
grocery,5104
blueprint,5686
boots,11318
dying,6851
never,48672
murphy,19430
burr,8260
negotiation,7674
despite,6060
disabled,9090
course,17584
newsroom,13755
director,17831
mitt,18580
something,46406
liberalism,5449
acton,6354
boo,9224
response,26936
sat,8876
basket,6887
hard,28022
lobby,7714
becker,6032
hardy,5038
housewife,6064
cardiovascular,27573
prevention,15945
nuclear,24468
clash,6006
addiction,7589
pull,6684
national,187946
landmark,8237
life,251048
unique,8713
population,15119
infidel,5490
larry,25355
pocket,8449
dot,15373
synthesis,27687
bit,25653
power,75677
sam,41801
care,118512
party,82156
broadcast,8537
likely,14317
seal,5388
crier,5826
hippo,7146
arena,6600
euthanasia,7617
ophthalmology,6501
fine,29187
glass,25292
grouchy,6137
palace,7582
another,89042
copper,5581
visa,5365
institute,97871
giving,45914
beacon,6136
trial,53721
fashion,44210
frist,6036
accused,6263
priest,7960
ben,44464
ribbon,6393
wall,49739
refresh,7629
canada,50961
morning,49837
better,53518
sleeping,6384
mere,8485
shameless,6979
partner,18710
engineering,21051
colorado,27270
oval,6419
eating,63605
hong,16299
relocation,6631
test,33354
edge,21233
develop,6367
discovered,7133
oil,109820
distemper,6312
harmony,7945
solid,5643
rebellion,5565
arrest,15110
savvy,7470
anger,13312
golden,37468
rocket,17179
march,369972
enough,19398
wired,13071
yang,8432
cabinet,11232
negro,5064
native,14669
tap,8014
rising,15069
abroad,9387
across,16746
flower,18328
cross,23789
replace,5507
runner,5141
genetic,8663
deaf,5702
courageous,49093
veterinarian,7814
economist,19910
investor,12698
experiment,6395
spicer,6012
oral,9381
mine,14154
driving,19597
autumn,15157
refund,6840
thrown,13867
mob,7746
viva,9787
involved,8787
das,12303
carry,7120
origin,8657
thanks,18990
gene,15919
rita,10219
frontier,6018
cripes,5119
canon,14004
hybrid,7006
reaction,5154
crunch,7966
anatomy,6973
tail,10575
toast,6934
employ,12625
third,30218
save,59326
north,83321
bath,10093
yes,14670
bed,11735
phone,21527
dominion,5640
renewal,13294
eat,24573
filter,7669
speak,24342
calm,7030
chat,17440
flag,10931
art,152988
final,41598
retriever,9402
heavy,9286
dating,33784
hazel,6337
switch,5897
envy,11283
senate,24430
camilla,5211
everything,36588
mistake,5675
bar,47126
voluntary,7181
rating,14187
