Unnamed: 0,company_name,company_id,url,vertical,missing_vertical,vert_code,vert_desc,company_name_short,is_small_name
4411,COATES & COATES LTD,07766496,http://www.coates-coates.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,coates & coates,0
4427,COCHRAN DICKIE & MACKENZIE LIMITED,SC269620,http://www.cochrandickie.com,69102 - Solicitors,0,69102.0,solicitors,cochran dickie & mackenzie,0
4566,COMPLETE COST CONSULTANTS LIMITED,03830488,http://www.legalcost.co.uk,69109 - Activities of patent and copyright agents; other legal activities n.e.c.,0,69109.0,activities of patent and copyright agents other legal activities nec,complete cost consultants,0
4596,COMTAX LTD,08002749,http://www.comtax.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,comtax,0
4648,CONNONS OF STONEHAVEN.,SC101105,http://www.connons.co.uk,69102 - Solicitors,0,69102.0,solicitors,connons of stonehaven.,0
4723,COOPER STOTT SOLICITORS LTD,08939300,http://www.cooperstott.co.uk,69102 - Solicitors,0,69102.0,solicitors,cooper stott solicitors,0
5206,DA-SILVA AND ASSOCIATES LIMITED,04761014,http://www.dasilvaandassociates.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,da-silva and associates,0
5284,DARTFORD LEGAL SERVICES LIMITED,06969082,http://www.dartfordlegalservices.com,69102 - Solicitors,0,69102.0,solicitors,dartford legal services,0
5287,DARTNELL LYNN LTD,08824126,http://www.dartnelllynnltd.co.uk,69202 - Bookkeeping activities,0,69202.0,bookkeeping activities,dartnell lynn,0
5354,DAVID STOUT CONSULTING LIMITED,08348795,http://www.davidstoutconsulting.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,david stout consulting,0
5385,DBS LAW LIMITED,04598943,http://www.dbslaw.co.uk,69102 - Solicitors,0,69102.0,solicitors,dbs law,0
5495,DENDY NEVILLE LIMITED,06219954,http://www.dendyneville.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,dendy neville,0
5505,DENNIS & TURNBULL LIMITED,04687071,http://www.dennisandturnbull.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,dennis & turnbull,0
5536,DERWENT LAW LIMITED,07120738,http://www.derwent-law.co.uk,69102 - Solicitors,0,69102.0,solicitors,derwent law,0
5740,DM MCNAUGHT & CO LTD.,SC318943,http://www.dmmcnaught.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,dm mcnaught & co .,0
5748,DMP ACCOUNTANTS LIMITED,06657848,http://www.dmpaccountants.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,dmp accountants,0
5808,DONOGHUE & CO. LIMITED,SC344150,http://www.odonoghueandcoaccountants.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,donoghue & co.,0
5872,DR SOLICITORS LIMITED,06122637,http://www.drsolicitors.com,69102 - Solicitors,0,69102.0,solicitors,dr solicitors,0
6030,DYTON-THOMAS ACCOUNTING LTD,07704491,http://www.dytonthomasaccounting.weebly.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,dyton-thomas accounting,0
6135,ECKO LIMITED,04177998,http://www.ecko.com,69202 - Bookkeeping activities,0,69202.0,bookkeeping activities,ecko,0
6219,EF . DE. LIMITED,05255009,http://www.ef.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,ef . de.,0
6261,ELAINE WILLIAMS ACCOUNTING LIMITED,07972642,http://www.elainewilliamsaccounting.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,elaine williams accounting,0
6354,ELLIS HASS AND CO SOLICITORS LIMITED,06821853,http://www.ehsolicitors.co.uk,69102 - Solicitors,0,69102.0,solicitors,ellis hass and co solicitors,0
6409,EMG SOLICITORS LIMITED,08668892,http://www.emgsolicitors.com,69102 - Solicitors,0,69102.0,solicitors,emg solicitors,0
6548,EPHRAIM BUSINESS SERVICES LIMITED,05309192,http://www.ephraimservices.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,ephraim business services,0
6565,EPSOM ACCOUNTING LIMITED,03903999,http://www.epsomaccounting.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,epsom accounting,0
6608,ESI IMMIGRATION LTD,07310595,http://www.esiimmigration.net,69109 - Activities of patent and copyright agents; other legal activities n.e.c.,0,69109.0,activities of patent and copyright agents other legal activities nec,esi immigration,0
6895,EYE FOR FINANCE LIMITED,07327012,http://www.eyeforfinance.co.uk,69202 - Bookkeeping activities,0,69202.0,bookkeeping activities,eye for finance,0
6921,F1 ACCOUNTING LIMITED,06988417,http://www.f1accounting.co.uk,69202 - Bookkeeping activities,0,69202.0,bookkeeping activities,f1 accounting,0
6988,FAMILY LAW ARBITRATION LIMITED,07719150,http://www.familylawarbitration.co.uk,69102 - Solicitors,0,69102.0,solicitors,family law arbitration,0
7115,FIELDBRIDGE LIMITED,08770047,http://www.fieldbridgeng.com,69102 - Solicitors,0,69102.0,solicitors,fieldbridge,0
7123,FIFTY THREE NORTH LIMITED,09050230,http://www.fiftythreedegreesnorthhfb.wordpress.com,69101 - Barristers at law,0,69101.0,barristers at law,fifty three north,0
7143,FINANCIAL DIRECTION & CONTROL LIMITED,06221440,http://www.fcd.ie,69202 - Bookkeeping activities,0,69202.0,bookkeeping activities,financial direction & control,0
